Results from Hipparcos curated bright star subset
Coordinate system: Equatorial
|name          |alt_name       |ra         |dec        |vmag |multiple|class                                             |
|Sirius        |               |06 45 09.00|-16 42 57.6|-1.46|        |STAR A1V                                          |
|Canopus       |               |06 23 57.12|-52 41 42.0|-0.74|        |STAR A9II                                         |
|Alpha Cen A   |               |14 39 36.36|-60 49 58.8|-0.27|        |STAR G2V                                          |
|Arcturus      |               |14 15 39.60|+19 10 55.2|-0.05|        |STAR K1III                                        |
|Vega          |               |18 36 56.16|+38 46 58.8| 0.03|        |STAR A0V                                          |
|Capella       |               |05 16 41.52|+45 59 49.2| 0.08|        |STAR G8III                                        |
|Rigel         |               |05 14 32.28|-08 12 07.2| 0.13|        |STAR B8Ia                                         |
|Procyon       |               |07 39 18.00|+05 13 30.0| 0.38|        |STAR F5IV                                         |
|Achernar      |               |01 37 42.96|-57 14 09.6| 0.46|        |STAR B6V                                          |
|Betelgeuse    |               |05 55 10.20|+07 24 25.2| 0.45|        |STAR M2Iab                                        |
|Hadar / Agena |               |14 03 49.32|-60 22 22.8| 0.61|        |STAR B1III                                        |
|Altair        |               |19 50 47.04|+08 52 08.4| 0.77|        |STAR A7V                                          |
|Acrux         |               |12 26 35.88|-63 05 56.4| 0.77|        |STAR B0.5IV                                       |
|Aldebaran     |               |04 35 55.32|+16 30 32.4| 0.85|        |STAR K5III                                        |
|Antares       |               |16 29 24.36|-26 25 55.2| 0.96|        |STAR M1.5Iab                                      |
|Spica         |               |13 25 11.64|-11 09 39.6| 0.98|        |STAR B1V                                          |
|Pollux        |               |07 45 19.08|+28 01 33.6| 1.14|        |STAR K0III                                        |
|Fomalhaut     |               |22 57 38.88|-29 37 19.2| 1.16|        |STAR A3V                                          |
|Deneb         |               |20 41 25.80|+45 16 48.0| 1.25|        |STAR A2Ia                                         |
|Mimosa        |               |12 47 43.08|-59 41 16.8| 1.25|        |STAR B0.5III                                      |
|Regulus       |               |10 08 22.20|+11 58 01.2| 1.35|        |STAR B7V                                          |
|Adhara        |               |06 58 37.56|-28 58 19.2| 1.50|        |STAR B2II                                         |
|Castor        |               |07 34 35.76|+31 53 16.8| 1.58|        |STAR A1V                                          |
|Gacrux        |               |12 31 09.84|-57 06 50.4| 1.63|        |STAR M3.5III                                      |
|Bellatrix     |               |05 25 08.04|+06 20 56.4| 1.64|        |STAR B2III                                        |
|Elnath        |               |05 26 17.52|+28 36 25.2| 1.65|        |STAR B7III                                        |
|Alnilam       |               |05 36 12.96|-01 12 03.6| 1.69|        |STAR B0Ia                                         |
